char,unicode,missing_cho,missing_jung,missing_jong,missing_total,in_ref78,ink_ratio,bbox_fill,edge_density,n_components,psnr,ssim
쏋,U+C3CB,0,0,0,0,0,0.19970703125,0.76739501953125,0.20611572265625,6,nan,nan
쏌,U+C3CC,0,0,0,0,0,0.17706298828125,0.734375,0.16387939453125,9,nan,nan
쏍,U+C3CD,0,0,0,0,0,0.15814208984375,0.72088623046875,0.16375732421875,8,nan,nan
쏎,U+C3CE,0,0,0,0,0,0.180908203125,0.7286376953125,0.1693115234375,7,nan,nan
쏏,U+C3CF,0,0,0,0,0,0.15423583984375,0.73828125,0.14129638671875,5,nan,nan
쏐,U+C3D0,0,0,0,0,0,0.17822265625,0.76904296875,0.1649169921875,5,nan,nan
쏑,U+C3D1,0,0,0,0,0,0.17462158203125,0.75,0.14141845703125,5,nan,nan
쏒,U+C3D2,0,0,1,1,0,0.16265869140625,0.7578125,0.1527099609375,5,nan,nan
쏓,U+C3D3,0,0,0,0,0,0.16168212890625,0.7265625,0.160400390625,5,nan,nan
쏔,U+C3D4,0,0,1,1,0,0.146240234375,0.75,0.154296875,12,nan,nan
쏕,U+C3D5,0,0,1,1,0,0.1651611328125,0.7265625,0.16802978515625,4,nan,nan
쏖,U+C3D6,0,0,0,0,0,0.17919921875,0.6842041015625,0.16607666015625,7,nan,nan
쏗,U+C3D7,0,0,0,0,0,0.14752197265625,0.7421875,0.15155029296875,7,nan,nan
쏘,U+C3D8,0,0,0,0,0,0.107666015625,0.58123779296875,0.09466552734375,2,nan,nan
쏙,U+C3D9,0,0,0,0,0,0.14691162109375,0.7421875,0.126708984375,2,nan,nan
쏚,U+C3DA,0,0,1,1,0,0.1591796875,0.9921875,0.15032958984375,10,nan,nan
쏛,U+C3DB,0,0,0,0,0,0.15289306640625,0.7265625,0.13739013671875,3,nan,nan
쏜,U+C3DC,0,0,0,0,0,0.1422119140625,0.671875,0.12567138671875,4,nan,nan
쏝,U+C3DD,0,0,1,1,0,0.1741943359375,0.734375,0.148681640625,7,nan,nan
쏞,U+C3DE,0,0,1,1,0,0.19232177734375,0.765625,0.16015625,5,nan,nan
쏟,U+C3DF,0,0,1,1,0,0.17071533203125,0.796875,0.14813232421875,4,nan,nan
쏠,U+C3E0,0,0,0,0,0,0.18621826171875,0.7265625,0.17327880859375,5,nan,nan
쏡,U+C3E1,0,0,0,0,0,0.178955078125,0.7265625,0.16485595703125,7,nan,nan
쏢,U+C3E2,0,0,0,0,0,0.1842041015625,0.8046875,0.18804931640625,6,nan,nan
쏣,U+C3E3,0,0,0,0,0,0.2047119140625,0.7265625,0.18438720703125,3,nan,nan
쏤,U+C3E4,0,0,0,0,0,0.19012451171875,0.7890625,0.18194580078125,5,nan,nan
쏥,U+C3E5,0,0,0,0,0,0.18414306640625,0.75,0.18072509765625,7,nan,nan
쏦,U+C3E6,0,0,1,1,0,0.1854248046875,0.765625,0.1800537109375,7,nan,nan
쏧,U+C3E7,0,0,0,0,0,0.16046142578125,0.8359375,0.169189453125,11,nan,nan
쏨,U+C3E8,0,0,0,0,0,0.15789794921875,0.84375,0.1572265625,5,nan,nan
